station_id1,station_id2,all,all_reverse,classic,classic_reverse,electric,electric_reverse,classic_ratio,electric_ratio,classic_ratio_reverse,electric_ratio_reverse
SF-M26-2,SF-L26,14,47,8,46,6,1,0.5714285714285714,0.42857142857142855,0.9787234042553191,0.02127659574468085
SF-M26-2,SF-M28,55,40,39,18,16,22,0.7090909090909091,0.2909090909090909,0.45,0.55
SF-M26-2,SF-M27,3,1,3,1,0,0,1.0,0.0,1.0,0.0
SF-M26-2,SF-L25,15,18,9,15,6,3,0.6,0.4,0.8333333333333334,0.16666666666666666
SF-M26-2,SF-M24,8,7,3,5,5,2,0.375,0.625,0.7142857142857143,0.2857142857142857
SF-M26-2,SF-L24,37,40,19,18,18,22,0.5135135135135135,0.4864864864864865,0.45,0.55
SF-M26-2,SF-N23,7,9,4,6,3,3,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.3333333333333333
SF-M26-2,SF-K27-2,5,3,5,3,0,0,1.0,0.0,1.0,0.0
SF-M26-2,SF-J26-2,4,19,0,2,4,17,0.0,1.0,0.10526315789473684,0.8947368421052632
SF-M26-2,SF-K28-3,1,3,1,2,0,1,1.0,0.0,0.6666666666666666,0.3333333333333333
SF-M26-2,SF-L28,35,46,28,31,7,15,0.8,0.2,0.6739130434782609,0.32608695652173914
SF-M26-2,SF-K28,18,4,14,2,4,2,0.7777777777777778,0.2222222222222222,0.5,0.5
SF-M26-2,SF-K29-1,18,16,3,4,15,12,0.16666666666666666,0.8333333333333334,0.25,0.75
SF-M26-2,SF-J28-2,25,41,12,23,13,18,0.48,0.52,0.5609756097560976,0.43902439024390244
SF-M26-2,SF-K27,1,5,0,3,1,2,0.0,1.0,0.6,0.4
SF-M26-2,SF-K25,8,10,3,9,5,1,0.375,0.625,0.9,0.1
SF-M26-2,SF-J25,45,56,11,10,34,46,0.24444444444444444,0.7555555555555555,0.17857142857142858,0.8214285714285714
SF-M26-2,SF-H26-2,8,9,2,4,6,5,0.25,0.75,0.4444444444444444,0.5555555555555556
SF-M26-2,SF-P24,12,12,5,3,7,9,0.4166666666666667,0.5833333333333334,0.25,0.75
SF-M26-2,SF-J24,25,3,9,2,16,1,0.36,0.64,0.6666666666666666,0.3333333333333333
SF-M26-2,SF-J26,15,9,11,3,4,6,0.7333333333333333,0.26666666666666666,0.3333333333333333,0.6666666666666666
SF-M26-2,SF-I26-,6,2,3,2,3,0,0.5,0.5,1.0,0.0
SF-M26-2,SF-I25,125,10,46,5,79,5,0.368,0.632,0.5,0.5
SF-M26-2,SF-H26,18,17,9,3,9,14,0.5,0.5,0.17647058823529413,0.8235294117647058
SF-M26-2,SF-O23,3,5,2,0,1,5,0.6666666666666666,0.3333333333333333,0.0,1.0
SF-M26-2,SF-H27-1,21,15,19,15,2,0,0.9047619047619048,0.09523809523809523,1.0,0.0
SF-M26-2,SF-F28-2,3,3,2,0,1,3,0.6666666666666666,0.3333333333333333,0.0,1.0
SF-M26-2,SF-G27,12,7,4,1,8,6,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.8571428571428571
SF-M26-2,SF-M22-2,14,9,4,3,10,6,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
SF-M26-2,SF-L22,8,6,6,1,2,5,0.75,0.25,0.16666666666666666,0.8333333333333334
