station_id,lat,lng,elevation
31293,38.90279588666669,-77.0610813099999,4
31314,38.90372096296289,-77.06752150823036,5
31225,38.903740238271645,-77.06269119506176,15
31295,38.90537531280184,-77.06516105313982,20
31312,38.90848589430882,-77.06359839905163,27
31326,38.90968525273103,-77.08562039074431,38
31325,38.912639689727584,-77.07434507059763,46
31226,38.91646280030022,-77.06820240615608,60
31306,38.92264320462053,-77.07725614934002,93
31322,38.91703935235257,-77.0957685012632,47
31246,38.90512635011558,-77.05688140104157,11
31323,38.92339393732177,-77.05183283404563,45
31121,38.92358099999988,-77.05005222277242,43
31307,38.93030955743244,-77.05561488963954,70
31305,38.93427394410562,-77.05797450914619,69
31313,38.94114073216362,-77.06197517204808,75
31300,38.944553976190505,-77.06389588492058,76
31318,38.94715000684934,-77.06509587899549,71
31310,38.95502698286599,-77.06997031619946,95
31202,38.91303137123151,-77.0319755465111,30
31268,38.916784398884325,-77.0281335383541,29
31101,38.91776707525219,-77.03206916719718,32
31119,38.921072138274354,-77.03186842330395,43
31123,38.92529228801841,-77.03237441781893,60
31105,38.9267851167609,-77.03219887288121,59
31649,38.93199779105078,-77.03296362438368,59
31124,38.92858704549905,-77.03222853260378,58
31602,38.93079747435904,-77.03148731508887,58
31110,38.91540101569046,-77.04460123396134,33
31116,38.91775805818553,-77.04063216568034,34
31133,38.918050407630425,-77.04547180254328,52
31114,38.91880538380304,-77.04156833841996,44
31125,38.91901906963904,-77.03445222290158,36
31113,38.92066499703861,-77.04367395219931,55
31104,38.92294807510066,-77.04257678755069,54
31296,38.92408963723229,-77.04077361047463,58
31106,38.92320048945145,-77.0476439915611,45
31117,38.92334379416446,-77.03518629256541,59
31103,38.92609614666678,-77.03655369999973,59
31112,38.92787742333332,-77.0433464066666,21
31507,38.92874660931911,-77.01244291935502,56
31102,38.9294652761396,-77.02781947453086,54
31419,38.93212397387397,-77.02349598018,59
31400,38.93669781490542,-77.02417276591811,59
31131,38.934382341666655,-77.0326893654762,55
31401,38.93748928638498,-77.03281527582199,51
31122,38.92888254981887,-77.03624134692004,61
31107,38.93191020015374,-77.03879008775934,62
31404,38.94178075273223,-77.02509626775952,57
31421,38.942037235929774,-77.01824155029983,73
31406,38.94249578658084,-77.03267705304089,46
31417,38.94798023634461,-77.02151521235592,67
31405,38.949663708333325,-77.02733353333333,55
31418,38.95160741869922,-77.01280643495933,68
31515,38.95237061392409,-77.00270808438812,60
31403,38.95657373817244,-77.01980227892575,62
31415,38.95671750000002,-77.02788856578943,74
31412,38.95744866666665,-77.00227184482759,47
31423,38.95810023188404,-77.01382729710144,63
31411,38.96134793981479,-77.02785398379632,89
31414,38.96752862857144,-77.02797711904762,86
31420,38.94215371794871,-77.03868339102569,60
31402,38.94771094444446,-77.03284898067633,60
31407,38.956426211382094,-77.03294842276416,78
31413,38.96884050595239,-77.01625357142859,69
31408,38.975220189655154,-77.01685708045972,84
31416,38.96949635042735,-77.03349893589744,71
31317,38.95827439230768,-77.08463577435893,101
31315,38.964551853630525,-77.0751482219151,98
31422,38.96579924003231,-77.06863202131305,107
31302,38.93489567055767,-77.07275986446167,114
31308,38.94384454228851,-77.07707384950255,113
31316,38.946182,-77.08059,122
31303,38.94760285984852,-77.07937185732317,119
31319,38.949814217391314,-77.08021932125602,121
31309,38.9548088611111,-77.08241929861107,99
